Date,Rule-Based
1969-12-01,0.00667216634
1970-01-01,0.00675
1970-02-01,0.006325
1970-03-01,0.005808333
1970-04-01,0.00576566634
1970-05-01,0.00632916634
1970-06-01,0.00616583366
1970-07-01,0.005798333659999999
1970-08-01,0.005816667
1970-09-01,0.00549616634
1970-10-01,0.005358333
1970-11-01,0.004591667
1970-12-01,0.00408333366
1971-01-01,0.003808333
1971-02-01,0.003241667
1971-03-01,0.00242036353008596
1971-04-01,0.002714325848137536
1971-05-01,-0.00144423759312321
1971-06-01,0.002855148348594705
1971-07-01,0.003945388819144603
1971-08-01,0.001520324435071284
1971-09-01,-0.0005794715982900276
1971-10-01,0.0019293591335914813
1971-11-01,0.0029157141077057113
1971-12-01,-3.255865920540773e-05
1972-01-01,0.0011916910135527589
1972-02-01,0.0007505131045498544
1972-03-01,0.001873587343839542
1972-04-01,0.0034014331719197715
1972-05-01,0.0035752708968481376
1972-06-01,2.8363201342280087e-05
1972-07-01,0.0011801057516778513
1972-08-01,0.0036573457718120806
1972-09-01,0.0041917491397849465
1972-10-01,0.004232305483870968
1972-11-01,0.0038856966720430116
1972-12-01,0.002572159597315436
1973-01-01,0.002385611791946308
1973-02-01,-0.017860376530201352
1973-03-01,0.00033197633316901375
1973-04-01,0.008244641010563382
1973-05-01,-0.004753670877464789
1973-06-01,-0.005522174950216452
1973-07-01,-0.029874743790043293
1973-08-01,0.029304492564190304
1973-09-01,0.023229580149757973
1973-10-01,-0.003273941783534374
1973-11-01,0.010090347311757996
1973-12-01,-0.00614806302477205
1974-01-01,0.007866338959621643
1974-02-01,0.0001033248304213104
1974-03-01,-0.008879775627159164
1974-04-01,-0.007133556806889354
1974-05-01,0.007963817115448853
1974-06-01,-0.00891733400178679
1974-07-01,-0.0004971470035386668
1974-08-01,-0.00602662453577937
1974-09-01,0.010370537254823307
1974-10-01,0.02540379715897445
1974-11-01,0.00690144938955949
1974-12-01,0.0037159932304248306
1975-01-01,0.016618997187437444
1975-02-01,0.005828045106661494
1975-03-01,-0.008838637418647965
1975-04-01,-0.0012346193973722971
1975-05-01,0.012145224080102813
1975-06-01,0.013004384196511627
1975-07-01,0.0022893836289767443
1975-08-01,0.002795366873860465
1975-09-01,-0.0005781150280919265
1975-10-01,0.019194385499053248
1975-11-01,0.0015270234288009914
1975-12-01,0.016345609638648298
1976-01-01,0.009909634205644306
1976-02-01,0.005114678673462057
1976-03-01,0.010755399910018604
1976-04-01,0.0034240770118285522
1976-05-01,-0.004414573354922591
1976-06-01,0.01161242969994278
1976-07-01,0.008639408283723842
1976-08-01,0.014626508279185924
1976-09-01,0.01117854614965507
1976-10-01,0.007918739660118258
1976-11-01,0.01878678557233448
1976-12-01,0.02157298598954933
1977-01-01,-0.013538139404877917
1977-02-01,0.001962650392957542
1977-03-01,0.006548105843191061
1977-04-01,0.007147072076206101
1977-05-01,0.007388351447149157
1977-06-01,0.011535755420688824
1977-07-01,-0.00023062308885456921
1977-08-01,0.010356462382699652
1977-09-01,-0.0008522016094459583
1977-10-01,-0.004506341303410948
1977-11-01,0.006960886157228913
1977-12-01,-0.005097235503276523
1978-01-01,-0.0016904277237502815
1978-02-01,0.0030046754906398886
1978-03-01,0.0018276956277232612
1978-04-01,0.0015374000943207016
1978-05-01,-0.0023905433443664713
1978-06-01,-0.0019486896648501367
1978-07-01,0.01001936178201635
1978-08-01,0.015324673846503175
1978-09-01,-0.003810548455949138
1978-10-01,-0.01562956528519528
1978-11-01,0.013563617531335148
1978-12-01,-0.009579895270663035
1979-01-01,0.01823579626975477
1979-02-01,-0.006519402621253405
1979-03-01,0.011437529925960638
1979-04-01,-0.002666900893158389
1979-05-01,0.019778519483598878
1979-06-01,0.01997100256805002
1979-07-01,0.0008989656831144544
1979-08-01,0.000754609646951664
1979-09-01,-0.006203781490388685
1979-10-01,-0.024146100772372708
1979-11-01,0.017428964190516472
1979-12-01,0.00597687263461056
1980-01-01,-0.012209862430807399
1980-02-01,-0.012319193210313715
1980-03-01,0.008943918822983588
1980-04-01,0.03551563027387562
1980-05-01,0.014843077417791282
1980-06-01,0.010386459004707284
1980-07-01,-0.0007132766061368244
1980-08-01,-0.0006479374745674031
1980-09-01,0.003713701487152706
1980-10-01,0.004905945341095799
1980-11-01,0.009866579590304906
1980-12-01,0.015944202268593968
1981-01-01,0.008342433787922411
1981-02-01,0.004602378854952948
1981-03-01,0.014203553058607347
1981-04-01,0.0005728354326350483
1981-05-01,0.020035343074289225
1981-06-01,0.008252135385880792
1981-07-01,0.005598285753654675
1981-08-01,0.005128262632594539
1981-09-01,0.007862685883383494
1981-10-01,0.022789509593444196
1981-11-01,0.026562107990821756
1981-12-01,0.0007269395788006422
1982-01-01,0.009905876235041383
1982-02-01,0.014093684941285635
1982-03-01,0.01327728527685266
1982-04-01,0.016658068681681792
1982-05-01,0.010194677396087733
1982-06-01,0.005901469900951913
1982-07-01,0.018872714809841803
1982-08-01,0.022644484465498327
1982-09-01,0.01909037242665218
1982-10-01,0.02153797924952629
1982-11-01,0.005975059046949852
1982-12-01,0.00966442478636562
1983-01-01,0.0029107722515612174
1983-02-01,0.014747090677512124
1983-03-01,0.006699480622459024
1983-04-01,0.014133693340400776
1983-05-01,-5.806641918953406e-05
1983-06-01,0.006674386505975277
1983-07-01,-0.002053889189446589
1983-08-01,0.008171866242563686
1983-09-01,0.02037959989510863
1983-10-01,0.004641335029530904
1983-11-01,0.009890258350988314
1983-12-01,0.0028154362679442616
1984-01-01,0.016986297652092294
1984-02-01,-8.419686209055447e-05
