Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
1977-06-01,0.859216923796181,0.04135373617646896,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1977-07-01,0.83978737474127,0.028221178346927268,0.009228649655165394,0.0,0.0,0.0,0.03004379512260974,0.009094400700215487,0.0,0.0,0.006191408621042176,0.06918071666427664,0.00019795335548230075,0.008054522793011
1977-08-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1977-09-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1977-10-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1977-11-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1977-12-01,0.8397873747412701,0.02822117834692727,0.009228649655165396,0.0,0.0,0.0,0.03004379512260974,0.009094400700215489,0.0,0.0,0.006191408621042177,0.06918071666427665,0.00019795335548230077,0.008054522793011002
1978-01-01,0.859216923796181,0.04135373617646896,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1978-02-01,0.859216923796181,0.04135373617646896,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1978-03-01,0.83978737474127,0.028221178346927264,0.009228649655165394,0.0,0.0,0.0,0.03004379512260974,0.009094400700215487,0.0,0.0,0.006191408621042176,0.06918071666427664,0.00019795335548230075,0.008054522793011
1978-04-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-05-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-06-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-07-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-08-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-09-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-10-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-11-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1978-12-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-01-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-02-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-03-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-04-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-05-01,0.8203578256863592,0.01508862051738558,0.0,0.0,0.0,0.0,0.03539101534632222,0.013641601050323231,0.0,0.0,0.009287112931563266,0.10377107499641491,0.00029693003322345116,0.002165819438408309
1979-06-01,0.8397873747412701,0.028221178346927268,0.009228649655165396,0.0,0.0,0.0,0.03004379512260974,0.009094400700215489,0.0,0.0,0.006191408621042177,0.06918071666427665,0.00019795335548230077,0.008054522793011002
1979-07-01,0.859216923796181,0.04135373617646896,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1979-08-01,0.859216923796181,0.04135373617646896,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1979-09-01,0.859216923796181,0.04135373617646895,0.01845729931033079,0.0,0.0,0.0,0.024696574898897265,0.004547200350107744,0.0,0.0,0.003095704310521088,0.03459035833213834,9.897667774115037e-05,0.01394322614761369
1979-10-01,0.7690869224447457,0.0231916381744654,0.009228649655165394,0.03168653362174798,0.0,0.004474595643646675,0.021785480012259374,0.010102384410887857,0.0035024898419805193,0.0,0.005109863320776992,0.11439988321637475,9.897667774115037e-05,0.00733258298020823
1979-11-01,0.6983864701482214,0.01816209800200355,0.009228649655165396,0.06337306724349598,0.0,0.008949191287293351,0.013527164901909016,0.01111036812156023,0.0070049796839610394,0.0,0.00402831802051181,0.1596190497684729,0.0,0.006610643167405461
1979-12-01,0.656255906438081,0.0240730993769754,0.0016334992180648768,0.06398680726079237,0.0,0.00894919128729335,0.018265043473012995,0.01153701203455722,0.007004979683961039,0.00291975681851688,0.004028318020511809,0.20050537157956602,0.0002815194012752447,0.0005594954073917852
1980-01-01,0.704255344079376,0.0481461987539508,0.0032669984361297535,0.0329140136563408,0.0,0.004474595643646675,0.025914016930754864,0.006408471886774098,0.0035024898419805193,0.00583951363703376,0.0020141590102559044,0.1615821685064228,0.0005630388025504894,0.0011189908147835703
1980-02-01,0.752254781720671,0.0722192981309262,0.00490049765419463,0.0018412200518892305,0.0,0.0,0.033562990388496736,0.0012799317389909754,0.0,0.00875927045555064,0.0,0.12265896543327946,0.0008445582038257341,0.0016784862221753555
1980-03-01,0.752254781720671,0.0722192981309262,0.00490049765419463,0.0018412200518892305,0.0,0.0,0.033562990388496736,0.0012799317389909754,0.0,0.00875927045555064,0.0,0.12265896543327946,0.0008445582038257341,0.0016784862221753555
1980-04-01,0.704255344079376,0.0481461987539508,0.0032669984361297535,0.0329140136563408,0.0,0.004474595643646675,0.025914016930754864,0.006408471886774098,0.0035024898419805193,0.00583951363703376,0.0020141590102559044,0.1615821685064228,0.0005630388025504894,0.0011189908147835703
1980-05-01,0.656255906438081,0.0240730993769754,0.0016334992180648768,0.06398680726079237,0.0,0.00894919128729335,0.018265043473012995,0.01153701203455722,0.007004979683961039,0.00291975681851688,0.004028318020511809,0.20050537157956602,0.0002815194012752447,0.0005594954073917852
1980-06-01,0.6562559064380808,0.024073099376975392,0.0016334992180648763,0.06398680726079237,0.0,0.008949191287293348,0.01826504347301299,0.011537012034557217,0.007004979683961037,0.0029197568185168796,0.004028318020511808,0.20050537157956597,0.0002815194012752446,0.000559495407391785
1980-07-01,0.656255906438081,0.0240730993769754,0.0016334992180648768,0.06398680726079237,0.0,0.00894919128729335,0.018265043473012995,0.011537012034557217,0.007004979683961039,0.00291975681851688,0.004028318020511809,0.20050537157956602,0.0002815194012752447,0.0005594954073917852
1980-08-01,0.704255344079376,0.0481461987539508,0.0032669984361297535,0.0329140136563408,0.0,0.004474595643646675,0.025914016930754864,0.0064084718867740975,0.0035024898419805193,0.00583951363703376,0.0020141590102559044,0.16158216850642276,0.0005630388025504894,0.0011189908147835703
1980-09-01,0.7463859077895162,0.042235197378978954,0.010862148873230273,0.03230027363904439,0.0,0.004474595643646675,0.021176138359650886,0.005981827973777106,0.0035024898419805193,0.00291975681851688,0.0020141590102559044,0.12069584669532962,0.0002815194012752447,0.007170138574797245
1980-10-01,0.8365159091409516,0.060397295380982506,0.020090798528395667,0.0006137400172964102,0.0,0.0,0.02408723324628877,0.00042664391299699413,0.0,0.00291975681851688,0.0,0.04088632181109319,0.0002815194012752447,0.013780781742202706
1980-11-01,0.8365159091409516,0.060397295380982506,0.020090798528395664,0.0006137400172964102,0.0,0.0,0.02408723324628877,0.00042664391299699413,0.0,0.00291975681851688,0.0,0.04088632181109319,0.0002815194012752447,0.013780781742202706
