,,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
dotcom_bust,Rule,0.2582588433555493,0.0771584918665934,0.02640235320161185,2.922409653313892,-0.01661739129218498,-0.005904624250578817,-0.008921148547527638,0.0,0.04681660856967307,0.0
dotcom_bust,SAA,0.26542096170906504,0.07934384583990385,0.0357688460485019,2.218238903550734,-0.020505694180487644,-0.011874610762259617,-0.012885957432692309,0.0,0.03427252756549626,0.15000000000000002
dotcom_bust,Barbell_LongShort,0.3012377044536314,0.08885820374583332,0.03969700565903882,2.2384107383071785,-0.03314888695674145,-0.013912223093750002,-0.019746634875000002,0.0,0.03181928389637667,0.44999999999999996
dotcom_bust,Barbell_Diversified,0.3070795892908611,0.09031090913666666,0.038345589526172785,2.355183744796124,-0.030369380043552607,-0.013137369825000002,-0.01866996355,0.0,0.036094852045618575,0.30000000000000004
dotcom_bust,Capital_Preservation,0.34185806536754093,0.09935559593377195,0.04394675176648658,2.2608177382870807,-0.034227156552144145,-0.015129859042763158,-0.02104849602631579,0.0,0.039685811448565866,0.6000000000000001
dotcom_bust,Gov_Long_Only,0.429801306003736,0.12237788099166666,0.07328193150891596,1.669959817813718,-0.06919351656936612,-0.0285373238125,-0.03804302775,0.0,0.020357637523931826,0.75
GFC,Rule,0.14654139020518575,0.055352927905517706,0.03307932982950339,1.6733388551344999,-0.03453218894936516,-0.013175615990742757,-0.01741773389856561,0.0,0.007762549758894233,0.0
GFC,SAA,0.1788377458382706,0.06786019634615388,0.062109042070129766,1.0925976972810216,-0.07574075175132944,-0.02122675126850962,-0.03855237442307693,0.15789473684210525,-0.032440544623596024,0.7100000000000001
GFC,Barbell_LongShort,0.14696532779104943,0.05693021688000002,0.06394147511107831,0.890348819465012,-0.05347150449828331,-0.0217468135125,-0.031738615375,0.05263157894736842,-0.045089164737991405,0.42
GFC,Barbell_Diversified,0.15396589871555477,0.059120049903999994,0.059688915186558764,0.9904694987204782,-0.03899694796827524,-0.02018533808,-0.02677707505,0.05263157894736842,-0.013424321070977574,0.2
GFC,Capital_Preservation,0.1723990831754596,0.06604483349894737,0.06877607158559987,0.9602879602791334,-0.05385944401955389,-0.026421800410526313,-0.030238450269736844,0.05263157894736842,-0.013456069200133203,0.5700000000000001
GFC,Gov_Long_Only,0.18704214462047197,0.0755890243,0.11968483347710983,0.6315672763538305,-0.10798978178568963,-0.041096991425,-0.060639677,0.05263157894736842,-0.0969674006753124,0.8
Calm_2017_2019,Rule,0.14646286551489163,0.04604030612773249,0.028536595329608793,1.6133776855980546,-0.02024547549428657,-0.008008437936620844,-0.012828157424232736,0.16,-0.014810126871989682,0.0
Calm_2017_2019,SAA,0.14785197816769102,0.04662637043466347,0.03452320375355133,1.3505806346222176,-0.02920695675085261,-0.010964219575721154,-0.012646661437500002,0.2,-0.02204716579415522,0.2
Calm_2017_2019,Barbell_LongShort,0.1294861698701335,0.041505356316666665,0.04205636100549697,0.9868984221255308,-0.031212673375439537,-0.0119042039375,-0.012696161812499999,0.24,-0.022140269939613932,0.5499999999999999
Calm_2017_2019,Barbell_Diversified,0.13498940446680852,0.04303226168666667,0.039509359172833415,1.0891662782588385,-0.031091653287528498,-0.01182362575,-0.0124964072,0.24,-0.022771808331285337,0.4
Calm_2017_2019,Capital_Preservation,0.15852118736553478,0.05008498121403508,0.044151869735019056,1.1343796200392886,-0.03931404569007979,-0.01429300121381579,-0.014804671934210527,0.28,-0.030115959945127724,0.8
