Date,SharpeWeighted
1969-12-01,0.0020129295224076034
1970-01-01,0.0019313078209186887
1970-02-01,0.001789599655988567
1970-03-01,0.0016064839408132608
1970-04-01,0.0016272276370787805
1970-05-01,0.0018273249826181203
1970-06-01,0.0018201710667754424
1970-07-01,0.001711684055298072
1970-08-01,0.00164577158295653
1970-09-01,0.0015868254241058228
1970-10-01,0.0015160902598375
1970-11-01,0.001299169278041748
1970-12-01,0.0011789194987855993
1971-01-01,0.0010775322413738985
1971-02-01,0.001033379651977683
1971-03-01,0.0009453983304060302
1971-04-01,0.0010803882511069656
1971-05-01,0.0010873058603818857
1971-06-01,0.0014173524784916315
1971-07-01,0.0015469662310884536
1971-08-01,0.00152482758229006
1971-09-01,0.0012458405180373732
1971-10-01,0.00130501475354539
1971-11-01,0.0012455882901939352
1971-12-01,0.0012002299103224168
1972-01-01,0.0011355170702172757
1972-02-01,0.0010196626795339286
1972-03-01,0.0011273497132441555
1972-04-01,0.0010990696717124385
1972-05-01,0.001180432379331073
1972-06-01,0.0012045607801564348
1972-07-01,0.00122210840862903
1972-08-01,0.0010798138071903668
1972-09-01,0.0013864725844416161
1972-10-01,0.0013853034045745267
1972-11-01,0.0015095422347767178
1972-12-01,0.0013916724668181504
1973-01-01,0.0016921991471723354
1973-02-01,0.0017287694571938182
1973-03-01,0.002229618125896811
1973-04-01,0.002545244709774026
1973-05-01,0.0016377503532906815
1973-06-01,0.0016067643682127304
1973-07-01,0.001610676344705483
1973-08-01,0.004252729144270553
1973-09-01,0.004678969206543469
1973-10-01,0.0008020158584809154
1973-11-01,0.003109284977856955
1973-12-01,0.0004082830447303526
1974-01-01,0.0022635445928182035
1974-02-01,0.0014923431957402397
1974-03-01,-0.0010309589866509456
1974-04-01,-0.0004073180690471745
1974-05-01,0.0029077866256830604
1974-06-01,0.00014244383030483475
1974-07-01,0.001655310185708436
1974-08-01,0.0005485323222445439
1974-09-01,0.003832264128235563
1974-10-01,0.007456293868771871
1974-11-01,0.0032822015789709695
1974-12-01,0.002237053433745739
1975-01-01,0.006804350956072461
1975-02-01,0.0030944150153155853
1975-03-01,-0.002040613299815721
1975-04-01,7.313789842519993e-05
1975-05-01,0.004722411774834161
1975-06-01,0.004759205239336227
1975-07-01,0.0010295782551504491
1975-08-01,0.0014684997553509362
1975-09-01,0.001068642997739766
1975-10-01,0.0054874694536375555
1975-11-01,0.0012522458194362956
1975-12-01,0.004808150927378149
1976-01-01,0.003026922008088827
1976-02-01,0.0025482361303916113
1976-03-01,0.003887240000335442
1976-04-01,0.0019310492829475682
1976-05-01,-1.7752654969195797e-05
1976-06-01,0.004190121097351399
1976-07-01,0.0033151846184068454
1976-08-01,0.0053010226472181895
1976-09-01,0.003885048277245859
1976-10-01,0.0028552527110222363
1976-11-01,0.004031079694587988
1976-12-01,0.00403021344062564
1977-01-01,-0.0011269946464991757
1977-02-01,0.0018862802588563439
1977-03-01,0.002484917902002792
1977-04-01,0.002677707506115137
1977-05-01,0.0027143012896421936
1977-06-01,0.0034804103725606227
1977-07-01,0.0012632733914867524
1977-08-01,0.0038681323683230837
1977-09-01,0.0011778397971863178
1977-10-01,-0.0002122704555116703
1977-11-01,0.0030524751343495218
1977-12-01,0.00042519678196084994
1978-01-01,0.0016476409670578927
1978-02-01,0.0025449916373722495
1978-03-01,0.0019098353221473586
1978-04-01,0.0013977851318833438
1978-05-01,0.00046889219751306867
1978-06-01,0.0011941858367104422
1978-07-01,0.003898215343148465
1978-08-01,0.005315876952983029
1978-09-01,0.001176979508156692
1978-10-01,-0.0018685088550094325
1978-11-01,0.004871070435111489
1978-12-01,-0.00012892759205753476
1979-01-01,0.00635775208090163
1979-02-01,0.0006029562963827933
1979-03-01,0.00476105633960525
1979-04-01,0.0015251634600457842
1979-05-01,0.006628388485973013
1979-06-01,0.006329841343495888
1979-07-01,0.0027272306039952993
1979-08-01,0.0026296724778238716
1979-09-01,0.0014489633451558633
1979-10-01,-0.008570086649203399
1979-11-01,0.00823345120927676
1979-12-01,0.0030314591229910538
1980-01-01,-0.0042731144724359165
1980-02-01,-0.005283421198865934
1980-03-01,0.0034691202379279265
1980-04-01,0.02305546722577439
1980-05-01,0.011347435512261663
1980-06-01,0.006346605072781122
1980-07-01,-0.003110838632850707
1980-08-01,-0.003620430060537955
1980-09-01,0.0006912388663079219
1980-10-01,0.002464263399328118
1980-11-01,0.003965310866552203
1980-12-01,0.007814278935405466
1981-01-01,0.0028006564513199067
1981-02-01,-0.0010411363405881911
1981-03-01,0.00756228832989335
1981-04-01,-0.00594212149046313
1981-05-01,0.012879618628052257
1981-06-01,0.00293084874904268
1981-07-01,0.0003983095947170743
1981-08-01,-0.00013143944395759
1981-09-01,0.0015825435338505253
1981-10-01,0.01239733603540248
1981-11-01,0.012904242637247867
1981-12-01,0.000787320335569485
1982-01-01,0.004765346258090075
1982-02-01,0.006898322941767599
1982-03-01,0.006629308547625158
1982-04-01,0.008942565847628118
1982-05-01,0.005803818381296896
1982-06-01,-0.00019867933349623302
1982-07-01,0.010229346832414865
1982-08-01,0.015111394727502335
1982-09-01,0.012039650493481628
1982-10-01,0.01664711155233048
1982-11-01,0.00367581296865195
1982-12-01,0.005222747795280158
1983-01-01,0.0021379782014692194
1983-02-01,0.006221684800284168
1983-03-01,0.002962490690460673
1983-04-01,0.008213725165874246
1983-05-01,-0.002427644682930349
1983-06-01,0.0025909532739634865
1983-07-01,-0.0026301215504383343
1983-08-01,0.0050371449546088055
1983-09-01,0.011259052527876904
1983-10-01,0.002567236739971005
