,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,VaR 95%,CVaR 95%,VaR 99%,CVaR 99%,Win Rate (Monthly),12M Loss Prob
Rule-Based,0.05887840524410533,0.03109192698453696,1.8936878783160496,3.083922686030366,0.5831641865078402,-0.10096368502442966,-0.010612124206559215,-0.015322635602007261,-0.017783200882607354,-0.02148831881032882,0.7322239031770046,0.07076923076923076
SAA Benchmark,0.05182224909278862,0.04849624578834217,1.0685826964619594,1.6429038609040674,0.31935934899758794,-0.16226939732764806,-0.017974255697115384,-0.026931884158653847,-0.029344132465384615,-0.040752730708791214,0.6626323751891074,0.13230769230769232
