Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
1997-11-01,0.34377407919498815,0.10417122160188487,0.10255696586714261,0.06680060212798031,0.015415755624609697,0.05985972121823593,0.09835364929386751,0.044086875390881235,0.031425051065758575,0.0,0.0026628674079852577,0.10210088489775017,0.01103433245259591,0.017757993856319605
1997-12-01,0.34951420349682144,0.11484449311792753,0.1177946260042683,0.08077153018258368,0.008943221947972427,0.05194116571435831,0.0987506642138997,0.03765990169739613,0.026093616174499793,0.0012136749642561212,0.0,0.10027479877272487,0.004043681859336189,0.008154421853955242
1998-01-01,0.31940645038490423,0.08018843145541409,0.07720806411680906,0.07383820408541228,0.03057642405397747,0.06454422659918282,0.06838116109123288,0.04668712054064893,0.05628338517637819,0.0012136749642561212,0.0,0.12454031118559836,0.026390298704225205,0.030742247641960204
1998-02-01,0.2829406570732912,0.07312311916822377,0.06747590589865975,0.07655578951927082,0.039519646001949904,0.06684845019639017,0.07602331593713212,0.057354638227511516,0.06308499986836848,0.002427349928512243,0.0,0.12964732820186617,0.030433980563561402,0.0345648194152625
1998-03-01,0.31940645038490423,0.08018843145541409,0.07720806411680906,0.07383820408541228,0.03057642405397747,0.06454422659918282,0.06838116109123288,0.04668712054064893,0.05628338517637819,0.0012136749642561212,0.0,0.12454031118559836,0.026390298704225205,0.03074224764196021
1998-04-01,0.30730828588337517,0.09710590931469455,0.09282480764899331,0.06951818756183885,0.024358977572582128,0.06216394481544326,0.10599580413976677,0.054754393077743824,0.038226665757748864,0.0012136749642561214,0.002662867407985258,0.10720790191401801,0.0150780143119321,0.021580565629621896
1998-05-01,0.3073082858833751,0.09710590931469455,0.09282480764899331,0.06951818756183885,0.024358977572582128,0.06216394481544326,0.10599580413976677,0.054754393077743824,0.038226665757748864,0.0012136749642561214,0.002662867407985258,0.10720790191401798,0.0150780143119321,0.021580565629621892
1998-06-01,0.2708424925717621,0.09004059702750422,0.08309264943084399,0.07223577299569738,0.033302199520554555,0.06446816841265057,0.11363795898566599,0.0654219107646064,0.045028280449739146,0.002427349928512243,0.002662867407985258,0.11231491893028578,0.019121696171268292,0.025403137402924186
1998-07-01,0.28294065707329114,0.07312311916822375,0.06747590589865973,0.0765557895192708,0.0395196460019499,0.06684845019639016,0.07602331593713212,0.0573546382275115,0.06308499986836846,0.0024273499285122424,0.0,0.12964732820186614,0.0304339805635614,0.03456481941526249
1998-08-01,0.289298697272987,0.04553236979290063,0.03662150222934982,0.0669048779882409,0.052209626159982515,0.07714728748400736,0.03801165796856606,0.055714339383901725,0.08647315417825659,0.0012136749642561214,0.0,0.14880582359847186,0.04873691554911424,0.05333007342996517
