,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,0.14646286551489163,0.04604030612773249,0.028536595329608793,1.6133776855980546,-0.02024547549428657,-0.008008437936620844,-0.012828157424232736,0.16,-0.014810126871989682,0.0
SAA,0.14785197816769102,0.04662637043466347,0.03452320375355133,1.3505806346222176,-0.02920695675085261,-0.010964219575721154,-0.012646661437500002,0.2,-0.02204716579415522,0.2
Barbell_Diversified,0.13498940446680852,0.04303226168666667,0.039509359172833415,1.0891662782588385,-0.031091653287528498,-0.01182362575,-0.0124964072,0.24,-0.022771808331285337,0.4
Barbell_LongShort,0.1294861698701335,0.041505356316666665,0.04205636100549697,0.9868984221255308,-0.031212673375439537,-0.0119042039375,-0.012696161812499999,0.24,-0.022140269939613932,0.5499999999999999
Capital_Preservation,0.15852118736553478,0.05008498121403508,0.044151869735019056,1.1343796200392886,-0.03931404569007979,-0.01429300121381579,-0.014804671934210527,0.28,-0.030115959945127724,0.8
Gov_Long_Only,0.20409166193736783,0.06508088916666667,0.07958329197659388,0.8177707600460599,-0.0707656695369967,-0.0248562216875,-0.025054362750000003,0.28,-0.05298178587023694,0.95
