,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,0.2582588433555493,0.0771584918665934,0.02640235320161185,2.922409653313892,-0.01661739129218498,-0.005904624250578817,-0.008921148547527638,0.0,0.04681660856967307,0.0
SAA,0.26542096170906504,0.07934384583990385,0.0357688460485019,2.218238903550734,-0.020505694180487644,-0.011874610762259617,-0.012885957432692309,0.0,0.03427252756549626,0.15000000000000002
Barbell_Diversified,0.3070795892908611,0.09031090913666666,0.038345589526172785,2.355183744796124,-0.030369380043552607,-0.013137369825000002,-0.01866996355,0.0,0.036094852045618575,0.30000000000000004
Barbell_LongShort,0.3012377044536314,0.08885820374583332,0.03969700565903882,2.2384107383071785,-0.03314888695674145,-0.013912223093750002,-0.019746634875000002,0.0,0.03181928389637667,0.44999999999999996
Capital_Preservation,0.34185806536754093,0.09935559593377195,0.04394675176648658,2.2608177382870807,-0.034227156552144145,-0.015129859042763158,-0.02104849602631579,0.0,0.039685811448565866,0.6000000000000001
Gov_Long_Only,0.429801306003736,0.12237788099166666,0.07328193150891596,1.669959817813718,-0.06919351656936612,-0.0285373238125,-0.03804302775,0.0,0.020357637523931826,0.75
