,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,-0.07353104313973524,-0.05031769304436427,0.03217469053527541,-1.5638905054641439,-0.09357338697005124,-0.017693734979725203,-0.019073535734794037,1.0,-0.0908894099106351,0.0
Barbell_LongShort,-0.130430577065199,-0.09076287816666667,0.06567699875976345,-1.3819583702151736,-0.16868453682155748,-0.038188165850000004,-0.0396787675,1.0,-0.16089514636639723,0.23000000000000004
SAA,-0.12573867280424544,-0.08676180571794874,0.07235919427725404,-1.1990432810170486,-0.16226939732764833,-0.04027843778413462,-0.04619107028846155,1.0,-0.15745611413615568,0.29000000000000004
Barbell_Diversified,-0.1328049682649931,-0.09240264080000003,0.06833612018322412,-1.352178621675452,-0.17047388648697037,-0.04007980973500001,-0.041005904200000005,1.0,-0.16395911597130142,0.38
Capital_Preservation,-0.15839673941343546,-0.11104560580701756,0.08422147066192431,-1.3184952119011164,-0.20221276200183447,-0.049514481303947366,-0.05062600789473684,1.0,-0.19446121762056312,0.6000000000000001
Gov_Long_Only,-0.23337503043567098,-0.16865850483333328,0.12291621703314659,-1.3721420078186384,-0.29401073069519945,-0.07070717055,-0.0767478715,1.0,-0.2805872563480125,0.75
