Date,Rule-Based,SAA Benchmark
1969-12-01,0.00667216634,0.000654647403846154
1970-01-01,0.00675,0.0006490384615384616
1970-02-01,0.006325,0.000608173076923077
1970-03-01,0.005808333,0.0005584935576923078
1970-04-01,0.00576566634,0.0005657050961538463
1970-05-01,0.00632916634,0.0006209935576923078
1970-06-01,0.00616583366,0.0006049679807692309
1970-07-01,0.005798333659999999,0.0005689102884615386
1970-08-01,0.005816667,0.000559294903846154
1970-09-01,0.00549616634,0.0005392627884615386
1970-10-01,0.005358333,0.000515224326923077
1970-11-01,0.004591667,0.00044150644230769235
1970-12-01,0.00408333366,0.0004006410576923078
1971-01-01,0.003808333,0.00036618586538461547
1971-02-01,0.003241667,0.0002828612596153847
1971-03-01,0.00242036353008596,0.0002998874692307693
1971-04-01,0.002714325848137536,0.0003405568134615386
1971-05-01,-0.00144423759312321,1.109641346153838e-05
1971-06-01,0.002855148348594705,0.0003810145725000001
1971-07-01,0.003945388819144603,0.00048565156538461546
1971-08-01,0.001520324435071284,0.0002707526442307693
1971-09-01,-0.0005794715982900276,-0.00016431334615384617
1971-10-01,0.0019293591335914813,0.0001818784134615385
1971-11-01,0.0029157141077057113,0.0003260276730769232
1971-12-01,-3.255865920540773e-05,-7.668306730769238e-05
1972-01-01,0.0011916910135527589,9.275599038461544e-05
1972-02-01,0.0007505131045498544,3.369565384615385e-05
1972-03-01,0.001873587343839542,0.0002797332596153847
1972-04-01,0.0034014331719197715,0.0004155208653846155
1972-05-01,0.0035752708968481376,0.00042170743269230777
1972-06-01,2.8363201342280087e-05,0.00018177135576923079
1972-07-01,0.0011801057516778513,0.0002653697403846155
1972-08-01,0.0036573457718120806,0.0004435550576923078
1972-09-01,0.0041917491397849465,0.00045775513461538466
1972-10-01,0.004232305483870968,0.00046500848076923084
1972-11-01,0.0038856966720430116,0.0004162399605769232
1972-12-01,0.002572159597315436,0.0003855056634615385
1973-01-01,0.002385611791946308,0.00038563195192307703
1973-02-01,-0.017860376530201352,-1.3423173076923057e-05
1973-03-01,0.00033197633316901375,0.0010176115576923076
1973-04-01,0.008244641010563382,0.005485006192307693
1973-05-01,-0.004753670877464789,-0.0033529158173076926
1973-06-01,-0.005522174950216452,-0.003047944951923077
1973-07-01,-0.029874743790043293,-0.020114660961538463
1973-08-01,0.029304492564190304,0.02001211191346154
1973-09-01,0.023229580149757973,0.020638938259615387
1973-10-01,-0.003273941783534374,-0.003945219163461539
1973-11-01,0.010090347311757996,0.00784841273076923
1973-12-01,-0.00614806302477205,-0.007853674355769232
1974-01-01,0.007866338959621643,0.004841463086538463
1974-02-01,0.0001033248304213104,-0.0006327858653846156
1974-03-01,-0.008879775627159164,-0.015070761115384615
1974-04-01,-0.007133556806889354,-0.013977466836538463
1974-05-01,0.007963817115448853,0.006790420432692308
1974-06-01,-0.00891733400178679,-0.011763364769230771
1974-07-01,-0.0004971470035386668,-0.0041702878557692315
1974-08-01,-0.00602662453577937,-0.011054264490384616
1974-09-01,0.010370537254823307,0.009247481759615385
1974-10-01,0.02540379715897445,0.032937073307692306
1974-11-01,0.00690144938955949,0.0070755013365384626
1974-12-01,0.0037159932304248306,0.0012341576923076928
1975-01-01,0.016618997187437444,0.025658619000000008
1975-02-01,0.005828045106661494,0.007933525326923077
1975-03-01,-0.008838637418647965,-0.016086538442307695
1975-04-01,-0.0012346193973722971,-0.006137998884615385
1975-05-01,0.012145224080102813,0.014780665875
1975-06-01,0.013004384196511627,0.015303185009615389
1975-07-01,0.0022893836289767443,-0.0019210658173076925
1975-08-01,0.002795366873860465,-0.001289727615384615
1975-09-01,-0.0005781150280919265,-0.006877209855769232
1975-10-01,0.019194385499053248,0.027686127000000005
1975-11-01,0.0015270234288009914,-0.003234828259615385
1975-12-01,0.016345609638648298,0.021120562836538462
1976-01-01,0.009909634205644306,0.011886102990384615
1976-02-01,0.005114678673462057,0.0038802449519230774
1976-03-01,0.010755399910018604,0.009921096548076925
1976-04-01,0.0034240770118285522,0.001179273403846154
1976-05-01,-0.004414573354922591,-0.006200975932692308
1976-06-01,0.01161242969994278,0.010535419173076923
1976-07-01,0.008639408283723842,0.005824326596153846
1976-08-01,0.014626508279185924,0.012285089461538463
1976-09-01,0.01117854614965507,0.00923593489423077
1976-10-01,0.007918739660118258,0.006045546653846154
1976-11-01,0.01878678557233448,0.017578778375
1976-12-01,0.02157298598954933,0.016853966182692307
1977-01-01,-0.013538139404877917,-0.015930083028846156
1977-02-01,0.001962650392957542,0.0005176980000000002
1977-03-01,0.006548105843191061,0.005190789625000001
1977-04-01,0.007147072076206101,0.005355703394230769
1977-05-01,0.007388351447149157,0.005981200471153848
1977-06-01,0.011535755420688824,0.009431125615384617
1977-07-01,-0.00023062308885456921,-0.001573418932692308
1977-08-01,0.010356462382699652,0.00868512903846154
1977-09-01,-0.0008522016094459583,-0.000691751
1977-10-01,-0.004506341303410948,-0.004788862471153847
1977-11-01,0.006960886157228913,0.005409063788461539
1977-12-01,-0.005097235503276523,-0.005974573961538461
1978-01-01,-0.0016904277237502815,-0.003013002653846154
1978-02-01,0.0030046754906398886,0.0014090159134615386
1978-03-01,0.0018276956277232612,0.00014374828846153858
1978-04-01,0.0015374000943207016,0.00048530185576923086
1978-05-01,-0.0023905433443664713,-0.0027351239326923083
1978-06-01,-0.0019486896648501367,-0.0017837907500000002
1978-07-01,0.01001936178201635,0.007583232826923077
1978-08-01,0.015324673846503175,0.011107367125000002
1978-09-01,-0.003810548455949138,-0.0031991355480769238
1978-10-01,-0.01562956528519528,-0.010408482451923077
