Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
2018-09-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2018-10-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2018-11-01,0.034846547314578,0.0,0.0,0.0,0.042519181585677746,0.20843989769820967,0.2921994884910486,0.20843989769820967,0.042519181585677746,0.012787723785166237,0.025575447570332473,0.012787723785166237,0.034846547314578,0.042519181585677746,0.042519181585677746
2018-12-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2019-01-01,0.19027661357921205,0.05532271584241407,0.05532271584241407,0.07376362112321877,0.0498742665549036,0.052808046940486165,0.002514668901927913,0.052808046940486165,0.0498742665549036,0.023889354568315167,0.0796311818943839,0.023889354568315167,0.19027661357921205,0.0498742665549036,0.0498742665549036
2019-02-01,0.19027661357921208,0.055322715842414084,0.055322715842414084,0.07376362112321878,0.04987426655490361,0.05280804694048617,0.0025146689019279133,0.05280804694048617,0.04987426655490361,0.023889354568315174,0.07963118189438391,0.023889354568315174,0.19027661357921208,0.04987426655490361,0.04987426655490361
2019-03-01,0.054418868996874106,0.0,0.0,0.0,0.06862745098039216,0.1989201477692526,0.15572605853935778,0.1989201477692526,0.06862745098039216,0.015345268542199487,0.03239556692242115,0.015345268542199487,0.054418868996874106,0.06862745098039216,0.06862745098039216
2019-04-01,0.054418868996874106,0.0,0.0,0.0,0.06862745098039216,0.1989201477692526,0.15572605853935778,0.1989201477692526,0.06862745098039216,0.015345268542199487,0.03239556692242115,0.015345268542199487,0.054418868996874106,0.06862745098039216,0.06862745098039216
2019-05-01,0.05441886899687411,0.0,0.0,0.0,0.06862745098039216,0.1989201477692526,0.15572605853935778,0.1989201477692526,0.06862745098039216,0.015345268542199489,0.03239556692242115,0.015345268542199489,0.05441886899687411,0.06862745098039216,0.06862745098039216
2019-06-01,0.1199512062889672,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.1199512062889672,0.08823529411764706,0.08823529411764706
2019-07-01,0.1199512062889672,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.1199512062889672,0.08823529411764706,0.08823529411764706
2019-08-01,0.11995120628896722,0.0,0.0,0.0,0.08823529411764706,0.14014638113309838,0.03578205475738682,0.14014638113309838,0.08823529411764706,0.020059636757928982,0.05096232041203577,0.020059636757928982,0.11995120628896722,0.08823529411764706,0.08823529411764706
2019-09-01,0.05604331284752707,0.0,0.0,0.0,0.07067603160667252,0.20485806262803624,0.1603745976002341,0.20485806262803624,0.07067603160667252,0.005853087503658179,0.023412350014632717,0.005853087503658179,0.05604331284752707,0.07067603160667252,0.07067603160667252
2019-10-01,0.05604331284752707,0.0,0.0,0.0,0.07067603160667252,0.20485806262803624,0.1603745976002341,0.20485806262803624,0.07067603160667252,0.005853087503658179,0.023412350014632717,0.005853087503658179,0.05604331284752707,0.07067603160667252,0.07067603160667252
2019-11-01,0.05604331284752707,0.0,0.0,0.0,0.07067603160667252,0.20485806262803624,0.1603745976002341,0.20485806262803624,0.07067603160667252,0.005853087503658179,0.023412350014632717,0.005853087503658179,0.05604331284752707,0.07067603160667252,0.07067603160667252
