,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,0.14654139020518575,0.055352927905517706,0.03307932982950339,1.6733388551344999,-0.03453218894936516,-0.013175615990742757,-0.01741773389856561,0.0,0.007762549758894233,0.0
SAA,0.1788377458382706,0.06786019634615388,0.062109042070129766,1.0925976972810216,-0.07574075175132944,-0.02122675126850962,-0.03855237442307693,0.15789473684210525,-0.032440544623596024,0.7100000000000001
Barbell_LongShort,0.14696532779104943,0.05693021688000002,0.06394147511107831,0.890348819465012,-0.05347150449828331,-0.0217468135125,-0.031738615375,0.05263157894736842,-0.045089164737991405,0.42
Barbell_Diversified,0.15396589871555477,0.059120049903999994,0.059688915186558764,0.9904694987204782,-0.03899694796827524,-0.02018533808,-0.02677707505,0.05263157894736842,-0.013424321070977574,0.2
Capital_Preservation,0.1723990831754596,0.06604483349894737,0.06877607158559987,0.9602879602791334,-0.05385944401955389,-0.026421800410526313,-0.030238450269736844,0.05263157894736842,-0.013456069200133203,0.5700000000000001
Gov_Long_Only,0.18704214462047197,0.0755890243,0.11968483347710983,0.6315672763538305,-0.10798978178568963,-0.041096991425,-0.060639677,0.05263157894736842,-0.0969674006753124,0.8
