Date,RiskParity
1969-12-01,0.001790316978333647
1970-01-01,0.0017749777520800053
1970-02-01,0.0016632198936157086
1970-03-01,0.0015273573113588315
1970-04-01,0.0015470792863819427
1970-05-01,0.0016982810948924618
1970-06-01,0.001654454659036437
1970-07-01,0.0015558447839208811
1970-08-01,0.0015295488172233998
1970-09-01,0.0014747653779638686
1970-10-01,0.0014090254612201644
1970-11-01,0.0012074232251792505
1970-12-01,0.001095665366714954
1971-01-01,0.0010014379774092004
1971-02-01,0.0007612789143904056
1971-03-01,0.0008216386585300043
1971-04-01,0.0009297951574856421
1971-05-01,-0.00011810552687605026
1971-06-01,0.001015233854338866
1971-07-01,0.0013287610633542866
1971-08-01,0.0006624462893282274
1971-09-01,-0.0007277417882463964
1971-10-01,0.00039594241524945856
1971-11-01,0.0008659005804635216
1971-12-01,-0.00040565413104968963
1972-01-01,0.00013495716279607719
1972-02-01,-4.972287702812242e-05
1972-03-01,0.0007201756439846839
1972-04-01,0.00114676404686153
1972-05-01,0.0011749646972248795
1972-06-01,0.0004098089643073539
1972-07-01,0.0006710558540165833
1972-08-01,0.0012302803338416675
1972-09-01,0.0012575409186007473
1972-10-01,0.0012798815790392177
1972-11-01,0.0011359685550013775
1972-12-01,0.0010337280267386398
1973-01-01,0.0010239731965346376
1973-02-01,-0.0034072952597718896
1973-03-01,-0.0019467908449080648
1973-04-01,0.0026887337181986243
1973-05-01,0.00041297619519043864
1973-06-01,2.4171393813220366e-05
1973-07-01,-0.0026294828928220835
1973-08-01,0.005738807177978197
1973-09-01,0.004448036357384466
1973-10-01,0.0012880214340488887
1973-11-01,0.0050908414876725296
1973-12-01,0.001209745318948453
1974-01-01,0.005430349239215472
1974-02-01,-0.0009006873453695741
1974-03-01,-0.0018971117504941442
1974-04-01,-0.0007532492922663555
1974-05-01,0.0016250298040747535
1974-06-01,0.001353940643378235
1974-07-01,0.001989951331314959
1974-08-01,0.0020609781445765003
1974-09-01,0.0026440139902895697
1974-10-01,0.004626188837254913
1974-11-01,0.0008006349805909509
1974-12-01,2.0713668784356023e-05
1975-01-01,0.0037028912073701716
1975-02-01,0.000794056613897684
1975-03-01,-0.0008022871114926464
1975-04-01,0.0021404749126125357
1975-05-01,0.002359995333102148
1975-06-01,0.0030726508519690054
1975-07-01,0.0030043748009393597
1975-08-01,0.002334361316051606
1975-09-01,0.0014163164536874224
1975-10-01,0.00427613012563327
1975-11-01,0.0009512650292505783
1975-12-01,0.0038135087717292467
1976-01-01,0.00222415450631098
1976-02-01,0.001462782318108369
1976-03-01,0.002871627585858657
1976-04-01,0.0011316521837497506
1976-05-01,-0.00027254887217866605
1976-06-01,0.0030650436044393063
1976-07-01,0.002341717350901609
1976-08-01,0.0031548094641304122
1976-09-01,0.002582360781010012
1976-10-01,0.0024576494564180393
1976-11-01,0.004606376662270304
1976-12-01,0.003992060229353162
1977-01-01,-0.0014555714613847118
1977-02-01,0.0011325702853796187
1977-03-01,0.0019488066060983388
1977-04-01,0.0014432221768607223
1977-05-01,0.0024348885636414842
1977-06-01,0.002184874718045947
1977-07-01,-0.0006392153611023008
1977-08-01,0.002952220490916794
1977-09-01,0.0008939129877547033
1977-10-01,-0.0018487384192915081
1977-11-01,0.00030475976577507756
1977-12-01,-0.0014752581998213527
1978-01-01,-0.00016608003779573912
1978-02-01,0.0007483576720203821
1978-03-01,0.0005043634974367109
1978-04-01,0.0004839764832922997
1978-05-01,0.002506516312038704
1978-06-01,-0.0011813894590219278
1978-07-01,-6.261893631025574e-05
1978-08-01,5.4991045999512145e-05
1978-09-01,-5.990658138832334e-05
1978-10-01,-0.001650143593435809
1978-11-01,0.0076453393043219775
1978-12-01,0.0014884497671106998
1979-01-01,0.004765085115715332
1979-02-01,0.0018023498418199692
1979-03-01,0.0045614197503767075
1979-04-01,0.00378954667908479
1979-05-01,0.005134724258863542
1979-06-01,0.004431576759456389
1979-07-01,0.0008671281509304677
1979-08-01,0.0022811915971375617
1979-09-01,0.0006026657543195316
1979-10-01,-0.004037946719284001
1979-11-01,0.008146485997282755
1979-12-01,0.0013155918428700867
1980-01-01,-0.0028549505357016655
1980-02-01,-0.0028157871822341324
1980-03-01,0.005944171913550004
1980-04-01,0.017492021927699344
1980-05-01,0.0034436196111163144
1980-06-01,0.0024762907445582175
1980-07-01,-0.0012063392502444858
1980-08-01,-0.0009506603481516984
1980-09-01,-0.0009557332909585363
1980-10-01,0.0007877027097297238
1980-11-01,0.004763380839020993
1980-12-01,0.007153384687167143
1981-01-01,0.00235716605688266
1981-02-01,0.0028089133832555234
1981-03-01,0.006046113224070126
1981-04-01,-0.00029449088092055905
1981-05-01,0.010909499606323815
1981-06-01,0.0031771995991746764
1981-07-01,0.002241363702039048
1981-08-01,0.0016936756496069671
1981-09-01,-6.343626710102895e-05
1981-10-01,0.008814168006960044
1981-11-01,0.011311380665957726
1981-12-01,-0.0022495470542126363
1982-01-01,0.0048914805497085635
1982-02-01,0.007777730542205071
1982-03-01,0.005661012863287275
1982-04-01,0.008249090248363067
1982-05-01,0.0036134982008367124
1982-06-01,0.004627864868475941
1982-07-01,0.00875184682941
1982-08-01,0.010737536615500014
1982-09-01,0.008979343481182149
1982-10-01,0.010898090209067129
1982-11-01,0.0024458046266300263
1982-12-01,-0.000221676901738291
1983-01-01,-0.0009363547048331828
1983-02-01,0.0072407947608065445
1983-03-01,0.0034408174080415997
1983-04-01,0.005729667458218036
1983-05-01,-0.0008271222518339279
1983-06-01,0.0038022703466170514
1983-07-01,-0.0013490248297354699
