,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Cash/Short,0.27743208267392744,0.09615384615384617,0.5,0.40000000000000013,0.15789473684210525,0.0
FX/Currency,0.033661705796027945,0.019230769230769235,0.0,0.0,0.0,0.0
Gold,0.057232427769658,0.019230769230769235,0.0,0.0,0.0,0.0
Government_Long,0.2847148913079268,0.28846153846153844,0.5,0.40000000000000013,0.36842105263157887,1.0
HighYield,0.03992154775989799,0.09615384615384617,0.0,0.0,0.0,0.0
InvestmentGrade,0.23184883918589605,0.28846153846153844,0.0,0.20000000000000007,0.47368421052631565,0.0
TIPS_Long,0.03007540220266632,0.09615384615384617,0.0,0.0,0.0,0.0
TIPS_Short,0.045113103303999466,0.09615384615384617,0.0,0.0,0.0,0.0
