,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,0.07569063488469041,0.07345762334105026,0.02445442065499586,3.0038586633228377,-0.0069468773504201,-0.004074108440975116,-0.0058392495084579246,0.0,0.07569063488469041,0.0
SAA,0.09535909410440269,0.09251089034903848,0.048745657745929406,1.8978283323454337,-0.01692405924194096,-0.011127778586778847,-0.015255183221153849,0.0,0.09535909410440269,0.15000000000000002
Barbell_LongShort,0.08543395649475705,0.083482566815,0.05182236747059092,1.6109369542481087,-0.02667571070771524,-0.013640072912499999,-0.017028148125,0.0,0.08543395649475705,0.52
Barbell_Diversified,0.08632151325180537,0.084091720152,0.047062007492766005,1.7868281578282845,-0.024484117289503726,-0.01224044677,-0.015808728299999998,0.0,0.08632151325180537,0.30000000000000004
Capital_Preservation,0.10094910651267419,0.09797232007315788,0.055758024486910585,1.7570981212965548,-0.02707330901781768,-0.013174509685526315,-0.017725046986842106,0.0,0.10094910651267419,0.53
Gov_Long_Only,0.15069995937106717,0.14545591975,0.09697166031018874,1.4999838023265963,-0.053048360757439794,-0.0271744416875,-0.03405689075,0.0,0.15069995937106717,0.75
