,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown,Avg Drawdown,Max DD Duration (months)
Rule-Based,0.05887840524410533,0.03109192698453696,1.8936878783160496,-0.10096368502442966,-0.01554176081863762,44.0
SAA Benchmark,0.05182224909278862,0.04849624578834217,1.0685826964619594,-0.16226939732764806,-0.025820086695242567,37.0
