,CumRet,AnnRet,AnnVol,Sharpe,MaxDD,VaR5,CVaR5,ProbLoss12m,Worst12m,PreservationScore
Rule,0.04651909630753526,0.04577713329364178,0.022000156898156143,2.0807639466188723,-0.005802663835867916,-0.005223336260093216,-0.00580266383586799,0.0,0.04651909630753526,0.0
SAA,0.01779048407872974,0.0190601628701923,0.0554411335444705,0.34379100230524223,-0.028579743684276404,-0.021324827811298082,-0.02236131136538462,0.0,0.01779048407872974,0.15000000000000002
Barbell_Diversified,0.003944514011397615,0.005470581399999994,0.05770339355343586,0.0948051936483423,-0.03293517828201453,-0.024308145595,-0.025577148,0.0,0.003944514011397615,0.37
Barbell_LongShort,0.0007283974163805329,0.0022218911250000035,0.05694885484143757,0.03901555406489568,-0.03354825274769857,-0.02415927895625,-0.025632926749999996,0.0,0.0007283974163805329,0.38
Capital_Preservation,-0.0013027351409028443,0.0008740198026315725,0.06871856539151491,0.012718830750496036,-0.04012858705942479,-0.02938512579671053,-0.030868976289473684,1.0,-0.0013027351409028443,0.8
Gov_Long_Only,-0.044846586116956244,-0.04072826324999998,0.10443305255200425,-0.38999399380496547,-0.07146966086319273,-0.0473073017625,-0.051131672999999996,1.0,-0.044846586116956244,0.95
