Date,MeanVariance
1969-12-01,0.0041412125889726285
1970-01-01,0.004591725470496418
1970-02-01,0.004454415051302053
1970-03-01,0.0043693462730759695
1970-04-01,0.00442576538170502
1970-05-01,0.004548315529094188
1970-06-01,0.004128943630091562
1970-07-01,0.003882847665177281
1970-08-01,0.004096418819480151
1970-09-01,0.003949698486626719
1970-10-01,0.003773634650606875
1970-11-01,0.0032337060229829157
1970-12-01,0.002934397501749181
1971-01-01,0.0026820388672838423
1971-02-01,0.002411979421438988
1971-03-01,0.0025138073351300507
1971-04-01,0.0030089693880878394
1971-05-01,0.0034431596828545102
1971-06-01,0.0039469798738771805
1971-07-01,0.004113173349310764
1971-08-01,0.0035527410665857984
1971-09-01,0.003002909014923914
1971-10-01,0.0030082381366495154
1971-11-01,0.002896508605446395
1971-12-01,0.0027498450180700055
1972-01-01,0.0026069411417093693
1972-02-01,0.0028095641963727745
1972-03-01,0.0032144014262402705
1972-04-01,0.0034222463124509456
1972-05-01,0.0032638824193686926
1972-06-01,0.003410155955087772
1972-07-01,0.0034427858874472583
1972-08-01,0.003408507958890972
1972-09-01,0.0038621605255112134
1972-10-01,0.0038608013008110016
1972-11-01,0.00377316321206183
1972-12-01,0.003868205624955132
1973-01-01,0.0042229512329237506
1973-02-01,0.004207875719286679
1973-03-01,0.005123748045868621
1973-04-01,0.005084982167955284
1973-05-01,0.004782202272675707
1973-06-01,0.005176072849714754
1973-07-01,0.005452181641693592
1973-08-01,0.00670749065282265
1973-09-01,0.00615439179045305
1973-10-01,0.004388864383734739
1973-11-01,0.005073110234015494
1973-12-01,0.0042422823133448015
1974-01-01,0.004799028570901064
1974-02-01,0.0036750377890760848
1974-03-01,0.0036682523778333144
1974-04-01,0.004716107047822456
1974-05-01,0.005011621225110928
1974-06-01,0.005852343538787571
1974-07-01,0.0053897111334665244
1974-08-01,0.005213401830096495
1974-09-01,0.005368710719806815
1974-10-01,0.00576359025282459
1974-11-01,0.004611852042717216
1974-12-01,0.003575424383469931
1975-01-01,0.004584452774166924
1975-02-01,0.003200731147488301
1975-03-01,0.00248712874130948
1975-04-01,0.003444406868199584
1975-05-01,0.003658438182293837
1975-06-01,0.003680730371761296
1975-07-01,0.0036273918172842214
1975-08-01,0.004246202527911307
1975-09-01,0.004690975543931488
1975-10-01,0.004908744918518399
1975-11-01,0.0039407265877598975
1975-12-01,0.004116857521181944
1976-01-01,0.0038875859532216794
1976-02-01,0.004035352605548045
1976-03-01,0.004614478247282718
1976-04-01,0.004055412930030615
1976-05-01,0.004283629280917369
1976-06-01,0.004867058541633606
1976-07-01,0.0044171421919440585
1976-08-01,0.004321172750480246
1976-09-01,0.004295545505372218
1976-10-01,0.004149825560420207
1976-11-01,0.004164966798395809
1976-12-01,0.00354249381605279
1977-01-01,0.003305610175682374
1977-02-01,0.0038105487112709657
1977-03-01,0.004046751385904109
1977-04-01,0.004000410121819031
1977-05-01,0.004399536948240914
1977-06-01,0.004410368709874656
1977-07-01,0.00395002893096244
1977-08-01,0.004609448313526077
1977-09-01,0.004443767052951081
1977-10-01,0.004238910883386623
1977-11-01,0.004526191044666187
1977-12-01,0.004590866737936334
1978-01-01,0.005084586083828324
1978-02-01,0.00526624303495811
1978-03-01,0.004892589098177636
1978-04-01,0.004694791013502314
1978-05-01,0.005386216724631158
1978-06-01,0.0050512755820078005
1978-07-01,0.005321469957963466
1978-08-01,0.005517103877951664
1978-09-01,0.005897663121541508
1978-10-01,0.005625576230705104
1978-11-01,0.007453563368704607
1978-12-01,0.00699816914046014
1979-01-01,0.007524806988481691
1979-02-01,0.006962439895625992
1979-03-01,0.0074613142401135
1979-04-01,0.007263440943383602
1979-05-01,0.007377986878825063
1979-06-01,0.007164568416861196
1979-07-01,0.006794574856885645
1979-08-01,0.007103063602252802
1979-09-01,0.0075913683087864454
1979-10-01,0.006484377498179829
1979-11-01,0.00821370457537856
1979-12-01,0.006377853088565555
1980-01-01,0.006523141237702579
1980-02-01,0.008763311494831916
1980-03-01,0.010565364231780361
1980-04-01,0.009303968307612086
1980-05-01,0.005736632194858624
1980-06-01,0.004694652326981736
1980-07-01,0.004227710765193299
1980-08-01,0.0057305023536203354
1980-09-01,0.006708605396343067
1980-10-01,0.008389150698516167
1980-11-01,0.01010041211740576
1980-12-01,0.010603522865115395
1981-01-01,0.009080819886532194
1981-02-01,0.009677603529123512
1981-03-01,0.009457817177544712
1981-04-01,0.009244334259992248
1981-05-01,0.012052702742824863
1981-06-01,0.010317783527889523
1981-07-01,0.010762306260129714
1981-08-01,0.011158420690945891
1981-09-01,0.010480862098655574
1981-10-01,0.011199258836813178
1981-11-01,0.010063330599442515
1981-12-01,0.00844092706524531
1982-01-01,0.009536387960014076
1982-02-01,0.010227764585679594
1982-03-01,0.008666515108119393
1982-04-01,0.009748594945153706
1982-05-01,0.008199786864554307
1982-06-01,0.008671972473289198
1982-07-01,0.00838483939343932
1982-08-01,0.007688735325880369
1982-09-01,0.007026611568225338
1982-10-01,0.006738880227189017
1982-11-01,0.005192663931874493
1982-12-01,0.005563738271259287
1983-01-01,0.005253479554233752
1983-02-01,0.006470357916443615
1983-03-01,0.0060628798988644015
1983-04-01,0.006408599515652461
1983-05-01,0.005614285682199016
1983-06-01,0.006826024470744742
1983-07-01,0.006448688679296453
1983-08-01,0.007938054208684611
1983-09-01,0.008547662271917271
1983-10-01,0.006647135950607901
1983-11-01,0.0073307941664944
1983-12-01,0.0065953434214392
1984-01-01,0.008418577047053967
1984-02-01,0.006351677987722132
1984-03-01,0.006353122535254918
