Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
29-07-2022,0.001177137,0.018187067,0.021454378,0.035999168,0.037621523,0.024434025,0.059034633,0.032373552,0.015941289,-0.000103072,-0.044412607,0.020506577,0.004238233,0.024874298,0.026679144
30-06-2022,-0.00239205,-0.014888339,-0.0176994,-0.024692193,-0.029469098,-0.01568728,-0.067331087,-0.028000103,-0.00879727,-0.010403917,-0.016901408,0.03968456,-0.006353897,-0.014170749,-0.014746118
31-05-2022,0.001378528,0.004147039,0.003357323,-0.000439531,-0.003021296,0.006446739,0.002452315,0.009337041,0.00182737,0.037460317,-0.030054645,0.019579139,0.005945745,-0.021986483,-0.018923001
29-04-2022,-0.000448441,-0.000243182,-0.000600641,-0.009344855,-0.092886137,-0.037948343,-0.035557851,-0.054680559,-0.030979806,0.016785023,0.004115226,0.065753677,-0.004770886,-0.094203647,-0.088921896
31-03-2022,-0.001199575,-0.007576329,-0.009782862,-0.014913554,-0.039295219,-0.027783507,-0.011466312,-0.025215398,-0.031135719,0.007152146,0.072058824,0.028636415,-0.014110698,-0.054868596,-0.053387211
28-02-2022,-0.000523571,0.010243893,0.010334341,0.009694506,-0.025329801,-0.011156917,-0.010266777,-0.020003172,-0.006588953,0.004025677,-0.004392387,0.003925957,-0.004103272,-0.016176294,-0.014616548
31-01-2022,-0.000922369,-0.005525804,-0.006971245,-0.01214375,-0.049007968,-0.021544367,-0.02734183,-0.033661883,-0.018944379,-0.002062975,0.013353116,0.008719799,-0.007031081,-0.043005562,-0.041387076
31-12-2021,-0.000393709,0.003298726,0.004018239,0.004828042,-0.008151569,-0.002558043,0.018744775,-0.000799685,-0.005133613,-0.000325627,-0.004431315,-0.001159128,-0.002122837,-0.01649128,-0.014219502
30-11-2021,-0.000116011,0.001530341,0.000598871,0.002386635,0.013365332,0.002960653,-0.009725928,0.000615739,0.007655107,-0.001517286,0.016516517,0.007456584,-0.000431577,0.028493374,0.026541022
29-10-2021,-3.17086E-05,0.006833391,0.007033729,0.008120301,0.016291605,-0.000276025,-0.001714361,0.002480444,-0.000705264,-0.000108366,-0.030567686,0.026874302,-0.003226385,0.02343843,0.018592083
30-09-2021,2.16551E-05,-0.000320213,-0.000726845,-0.004192872,-0.023372727,-0.008659485,-0.000106369,-0.010526612,-0.010836907,0.008855362,0.007331378,0.002806485,-0.001002758,-0.029647417,-0.02862845
31-08-2021,0.00011757,0.000337295,-7.4025E-05,-0.001860033,-0.0030439,-0.001903393,0.00513605,-0.003024963,-0.001752866,-0.0029431,0,-0.003280881,-7.16204E-05,-0.002142758,-0.0021045
30-07-2021,8.81854E-05,0.013055544,0.014697319,0.023003738,0.027778527,0.011182679,0.003809956,0.01368772,0.013608143,0.010575017,-0.046153846,0.000971779,0.00172185,0.037630295,0.036475943
30-06-2021,-8.19902E-05,0.000310176,-0.000353093,0.00081616,0.03552378,0.00702544,0.013394239,0.01631335,0.006425988,0.005649718,0.045321637,0.00912182,-0.00171889,0.037709636,0.03574676
31-05-2021,0.000150854,0.008186551,0.00786037,0.009336171,0.008108336,0.003266641,0.002957798,0.007681865,0.003446837,-0.02072033,0.036363636,0.000619013,0.000931933,0.005237169,0.004506045
30-04-2021,1.08306E-05,0.008350811,0.009481725,0.012722469,0.01959152,0.007900145,0.010861268,0.011077567,0.007500357,-0.008604001,0.016949153,0.003177579,0.000394435,0.023848432,0.023272645
31-03-2021,0.000185703,0.004260608,0.004780018,0.001636433,-0.036201411,-0.012488358,0.001495073,-0.017160574,-0.015416325,0.035527342,-0.05942029,0.031521939,-0.000250941,-0.05160431,-0.0498537
26-02-2021,0.000131557,0.001048547,0.000774537,-0.007190017,-0.04189474,-0.014438685,0.003674684,-0.017226272,-0.018146529,0.01285956,-0.049586777,0.015310974,-0.000573251,-0.056965711,-0.055672865
29-01-2021,0.000327451,0.00534774,0.005972092,0.006191089,-0.029681452,-0.007169672,0.003306174,-0.012831855,-0.009564742,-0.002138676,0.058309038,-6.64771E-05,0.000322558,-0.037487636,-0.036079451
31-12-2020,-1.16116E-05,0.009293028,0.010641608,0.012430453,-0.001963754,0.001377301,0.01882476,0.004355148,-0.002315483,-0.024807903,-0.052486188,-0.005851191,0.000502008,-0.011955566,-0.011781695
